isDisabled,ProgramCommand,Argument,TakeANap,FAIL_Condition
,CameraAPI.exe,http://192.168.1.3/adm/reset_to_default.cgi administrator,60,
,ClickOvuAPP.exe,,10,
,CheckUpgradeMesage.exe,,10,
,RemoveCamera.exe,,10,
,CloseAPP.exe,,10,
,ClickOvuAPP.exe,,10,
,CheckUpgradeMesage.exe,,10,
,CheckCameraExist.exe,,10,EXIST
,AddCamera_DBC831v2.exe,,10,
,AddCamera_WiFi.exe,,60,
,AddCamera_QRCode.exe,,10,
,CheckCameraExist.exe,,10,NOT_EXIST
,RemoveCamera.exe,,10,
,CloseAPP.exe,,10,
,CameraAPI.exe,http://192.168.1.3/adm/reset_to_default.cgi administrator,60,
